<Atom C1 [0]; In LIG 0>,<Atom C2 [1]; In LIG 0>,1.5380
<Atom C1 [0]; In LIG 0>,<Atom C6 [5]; In LIG 0>,1.5380
<Atom C1 [0]; In LIG 0>,<Atom H1 [12]; In LIG 0>,1.0970
<Atom C1 [0]; In LIG 0>,<Atom H2 [13]; In LIG 0>,1.0970
<Atom C2 [1]; In LIG 0>,<Atom C3 [2]; In LIG 0>,1.5380
<Atom C1 [0]; In LIG 0>,<Atom C2 [1]; In LIG 0>,1.5380
<Atom C2 [1]; In LIG 0>,<Atom H3 [14]; In LIG 0>,1.0970
<Atom C2 [1]; In LIG 0>,<Atom H4 [15]; In LIG 0>,1.0970
<Atom C3 [2]; In LIG 0>,<Atom C4 [3]; In LIG 0>,1.5380
<Atom C2 [1]; In LIG 0>,<Atom C3 [2]; In LIG 0>,1.5380
<Atom C3 [2]; In LIG 0>,<Atom H5 [16]; In LIG 0>,1.0970
<Atom C3 [2]; In LIG 0>,<Atom H6 [17]; In LIG 0>,1.0970
<Atom C4 [3]; In LIG 0>,<Atom C5 [4]; In LIG 0>,1.5380
<Atom C3 [2]; In LIG 0>,<Atom C4 [3]; In LIG 0>,1.5380
<Atom C4 [3]; In LIG 0>,<Atom H7 [18]; In LIG 0>,1.0970
<Atom C4 [3]; In LIG 0>,<Atom H8 [19]; In LIG 0>,1.0970
<Atom C5 [4]; In LIG 0>,<Atom C6 [5]; In LIG 0>,1.5380
<Atom C4 [3]; In LIG 0>,<Atom C5 [4]; In LIG 0>,1.5380
<Atom C5 [4]; In LIG 0>,<Atom H9 [20]; In LIG 0>,1.0970
<Atom C5 [4]; In LIG 0>,<Atom H10 [21]; In LIG 0>,1.0970
<Atom C6 [5]; In LIG 0>,<Atom C10 [9]; In LIG 0>,1.5160
<Atom C5 [4]; In LIG 0>,<Atom C6 [5]; In LIG 0>,1.5380
<Atom C1 [0]; In LIG 0>,<Atom C6 [5]; In LIG 0>,1.5380
<Atom C6 [5]; In LIG 0>,<Atom H11 [22]; In LIG 0>,1.0970
<Atom C7 [6]; In LIG 0>,<Atom C8 [7]; In LIG 0>,1.3980
<Atom C7 [6]; In LIG 0>,<Atom C12 [11]; In LIG 0>,1.3980
<Atom C7 [6]; In LIG 0>,<Atom H12 [23]; In LIG 0>,1.0860
<Atom C8 [7]; In LIG 0>,<Atom C9 [8]; In LIG 0>,1.3980
<Atom C7 [6]; In LIG 0>,<Atom C8 [7]; In LIG 0>,1.3980
<Atom C8 [7]; In LIG 0>,<Atom H13 [24]; In LIG 0>,1.0860
<Atom C9 [8]; In LIG 0>,<Atom C10 [9]; In LIG 0>,1.3980
<Atom C8 [7]; In LIG 0>,<Atom C9 [8]; In LIG 0>,1.3980
<Atom C9 [8]; In LIG 0>,<Atom H14 [25]; In LIG 0>,1.0860
<Atom C10 [9]; In LIG 0>,<Atom C11 [10]; In LIG 0>,1.3980
<Atom C9 [8]; In LIG 0>,<Atom C10 [9]; In LIG 0>,1.3980
<Atom C6 [5]; In LIG 0>,<Atom C10 [9]; In LIG 0>,1.5160
<Atom C11 [10]; In LIG 0>,<Atom C12 [11]; In LIG 0>,1.3980
<Atom C10 [9]; In LIG 0>,<Atom C11 [10]; In LIG 0>,1.3980
<Atom C11 [10]; In LIG 0>,<Atom H15 [26]; In LIG 0>,1.0860
<Atom C11 [10]; In LIG 0>,<Atom C12 [11]; In LIG 0>,1.3980
<Atom C7 [6]; In LIG 0>,<Atom C12 [11]; In LIG 0>,1.3980
<Atom C12 [11]; In LIG 0>,<Atom H16 [27]; In LIG 0>,1.0860
<Atom C1 [0]; In LIG 0>,<Atom H1 [12]; In LIG 0>,1.0970
<Atom C1 [0]; In LIG 0>,<Atom H2 [13]; In LIG 0>,1.0970
<Atom C2 [1]; In LIG 0>,<Atom H3 [14]; In LIG 0>,1.0970
<Atom C2 [1]; In LIG 0>,<Atom H4 [15]; In LIG 0>,1.0970
<Atom C3 [2]; In LIG 0>,<Atom H5 [16]; In LIG 0>,1.0970
<Atom C3 [2]; In LIG 0>,<Atom H6 [17]; In LIG 0>,1.0970
<Atom C4 [3]; In LIG 0>,<Atom H7 [18]; In LIG 0>,1.0970
<Atom C4 [3]; In LIG 0>,<Atom H8 [19]; In LIG 0>,1.0970
<Atom C5 [4]; In LIG 0>,<Atom H9 [20]; In LIG 0>,1.0970
<Atom C5 [4]; In LIG 0>,<Atom H10 [21]; In LIG 0>,1.0970
<Atom C6 [5]; In LIG 0>,<Atom H11 [22]; In LIG 0>,1.0970
<Atom C7 [6]; In LIG 0>,<Atom H12 [23]; In LIG 0>,1.0860
<Atom C8 [7]; In LIG 0>,<Atom H13 [24]; In LIG 0>,1.0860
<Atom C9 [8]; In LIG 0>,<Atom H14 [25]; In LIG 0>,1.0860
<Atom C11 [10]; In LIG 0>,<Atom H15 [26]; In LIG 0>,1.0860
<Atom C12 [11]; In LIG 0>,<Atom H16 [27]; In LIG 0>,1.0860
